"日本語","中国語","拼音","例文","例文拼音","例文和訳","HSKレベル"
"私","我","wǒ","我是学生。","wǒ shì xué shēng.","私は学生です。","1"
"あなた","你","nǐ","你好吗？","nǐ hǎo ma?","お元気ですか？","1"
"彼","他","tā","他是老师。","tā shì lǎo shī.","彼は先生です。","1"
"彼女","她","tā","她很漂亮。","tā hěn piào liang.","彼女はとても綺麗です。","1"
"これ","这","zhè","这是什么？","zhè shì shén me?","これは何ですか？","1"
"それ","那","nà","那个很好。","nà ge hěn hǎo.","それはとても良いです。","1"
"どこ","哪儿","nǎr","你去哪儿？","nǐ qù nǎr?","どこに行きますか？","1"
"何","什么","shén me","这是什么？","zhè shì shén me?","これは何ですか？","1"
"誰","谁","shéi","他是谁？","tā shì shéi?","彼は誰ですか？","1"
"いくつ","几","jǐ","你几岁？","nǐ jǐ suì?","あなたは何歳ですか？","1"
"いくら","多少","duō shao","这个多少钱？","zhè ge duō shao qián?","これはいくらですか？","1"
"一","一","yī","我有一本书。","wǒ yǒu yī běn shū.","私は本を一冊持っています。","1"
"二","二","èr","我要二十块钱。","wǒ yào èr shí kuài qián.","私は20元必要です。","1"
"三","三","sān","三点钟见面。","sān diǎn zhōng jiàn miàn.","3時に会いましょう。","1"
"四","四","sì","我家有四口人。","wǒ jiā yǒu sì kǒu rén.","うちは4人家族です。","1"
"五","五","wǔ","五分钟后回来。","wǔ fēn zhōng hòu huí lái.","5分後に戻ります。","1"
"六","六","liù","六点下班。","liù diǎn xià bān.","6時に仕事が終わります。","1"
"七","七","qī","今天是星期七。","jīn tiān shì xīng qī qī.","今日は日曜日です。","1"
"八","八","bā","八月很热。","bā yuè hěn rè.","8月はとても暑いです。","1"
"九","九","jiǔ","九点睡觉。","jiǔ diǎn shuì jiào.","9時に寝ます。","1"
"十","十","shí","十个苹果。","shí ge píng guǒ.","10個のりんご。","1"
"人","人","rén","他是好人。","tā shì hǎo rén.","彼は良い人です。","1"
"大","大","dà","这个房子很大。","zhè ge fáng zi hěn dà.","この家はとても大きいです。","1"
"小","小","xiǎo","我有一个小狗。","wǒ yǒu yī ge xiǎo gǒu.","私は小さな犬を飼っています。","1"
"多","多","duō","人很多。","rén hěn duō.","人がたくさんいます。","1"
"少","少","shǎo","钱太少了。","qián tài shǎo le.","お金が少なすぎます。","1"
"好","好","hǎo","今天天气很好。","jīn tiān tiān qì hěn hǎo.","今日は天気がとても良いです。","1"
"はい","是","shì","是的，我知道。","shì de, wǒ zhī dào.","はい、知っています。","1"
"いいえ","不","bù","不，我不去。","bù, wǒ bù qù.","いいえ、行きません。","1"
"ある/いる","有","yǒu","我有一个朋友。","wǒ yǒu yī ge péng you.","私には友達がいます。","1"
"来る","来","lái","他明天来。","tā míng tiān lái.","彼は明日来ます。","1"
"行く","去","qù","我去学校。","wǒ qù xué xiào.","私は学校に行きます。","1"
"見る","看","kàn","我看电视。","wǒ kàn diàn shì.","私はテレビを見ます。","1"
"聞く","听","tīng","我听音乐。","wǒ tīng yīn yuè.","私は音楽を聞きます。","1"
"話す","说","shuō","他说中文。","tā shuō zhōng wén.","彼は中国語を話します。","1"
"読む","读","dú","我读书。","wǒ dú shū.","私は本を読みます。","1"
"書く","写","xiě","我写汉字。","wǒ xiě hàn zì.","私は漢字を書きます。","1"
"食べる","吃","chī","我吃饭。","wǒ chī fàn.","私はご飯を食べます。","1"
"飲む","喝","hē","我喝水。","wǒ hē shuǐ.","私は水を飲みます。","1"
"する","做","zuò","我做作业。","wǒ zuò zuò yè.","私は宿題をします。","1"
"買う","买","mǎi","我买东西。","wǒ mǎi dōng xi.","私は買い物をします。","1"
"家","家","jiā","我回家。","wǒ huí jiā.","私は家に帰ります。","1"
"学校","学校","xué xiào","学校很大。","xué xiào hěn dà.","学校はとても大きいです。","1"
"本","书","shū","这本书很好。","zhè běn shū hěn hǎo.","この本はとても良いです。","1"
